ATAU   250     1.120     0.010  CLOUD-top sub-layers: max#, factor, min dtau
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
  600  0.2860  0.075  1000.0  0.5187  1.000 1.643 1.599 1.074 0.682 0.416 0.256 0.157
 1000  0.1184  0.075  1000.0  0.3536  1.000 1.248 1.150 0.602 0.311 0.157 0.081 0.041
36 OC00(rvm) Organic C, RH=00 (n@400=1.53-.005i log-norm: r=.02um/sigma=2.0)
  300  1.0162  0.070  1800.0  0.9530  1.000 1.871 1.938 1.467 1.056 0.706 0.480 0.316
  400  0.6261  0.070  1800.0  0.9673  1.000 1.759 1.732 1.211 0.811 0.503 0.321 0.196
  600  0.2733  0.070  1800.0  0.9493  1.000 1.559 1.436 0.876 0.522 0.290 0.168 0.093
 1000  0.0833  0.070  1800.0  0.7901  1.000 1.234 1.089 0.528 0.262 0.125 0.064 0.031
37 OC50(rvm) Organic C, RH=50 (n@400=1.44-.003i log-norm: r=.03um/sigma=2.0)
  300  1.1021  0.087  1800.0  0.9716  1.000 2.040 2.288 1.914 1.500 1.095 0.789 0.565
  400  0.6904  0.087  1800.0  0.9803  1.000 1.939 2.074 1.626 1.198 0.822 0.561 0.378
  600  0.3114  0.087  1800.0  0.9696  1.000 1.739 1.732 1.207 0.802 0.498 0.313 0.193
 1000  0.0955  0.087  1800.0  0.8711  1.000 1.402 1.301 0.740 0.417 0.224 0.126 0.069
38 OC70(rvm) Organic C, RH=70 (n@400=1.42-.002i log-norm: r=.03um/sigma=2.0)
  300  1.1602  0.095  1800.0  0.9771  1.000 2.095 2.408 2.079 1.675 1.258 0.928 0.680
  400  0.7380  0.095  1800.0  0.9843  1.000 1.998 2.194 1.783 1.354 0.959 0.671 0.464
  600  0.3373  0.095  1800.0  0.9759  1.000 1.805 1.845 1.342 0.924 0.596 0.385 0.245
 1000  0.1047  0.095  1800.0  0.8982  1.000 1.470 1.390 0.834 0.490 0.275 0.159 0.090
39 OC80(rvm) Organic C, RH=80 (n@400=1.40-.002i log-norm: r=.03um/sigma=2.0)
  300  1.2225  0.102  1800.0  0.9811  1.000 2.134 2.499 2.208 1.817 1.393 1.047 0.781
  400  0.7864  0.102  1800.0  0.9871  1.000 2.045 2.289 1.912 1.487 1.078 0.770 0.543
  600  0.3664  0.102  1800.0  0.9805  1.000 1.858 1.937 1.455 1.030 0.682 0.451 0.294
 1000  0.1150  0.102  1800.0  0.9180  1.000 1.527 1.466 0.916 0.556 0.322 0.191 0.111
40 OC90(rvm) Organic C, RH=90 (n@400=1.38-.001i log-norm: r=.03um/sigma=2.0)
  300  1.3563  0.116  1800.0  0.9867  1.000 2.196 2.646 2.424 2.062 1.634 1.265 0.972
  400  0.8922  0.116  1800.0  0.9911  1.000 2.119 2.451 2.137 1.727 1.301 0.961 0.701
  600  0.4317  0.116  1800.0  0.9869  1.000 1.946 2.099 1.661 1.229 0.850 0.583 0.394
 1000  0.1401  0.116  1800.0  0.9462  1.000 1.629 1.607 1.073 0.688 0.418 0.258 0.157
