Cloud-J v7.5+ NEW extended cloud scattering and absorption for 12:18 (old FJ) & 19:27 (+RRTM)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
21 1.448 24.0 1251. 1.293 2.4E-04 2.097 0.95933 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 48.0 5004. 1.293 2.4E-04 2.060 0.92464 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 95.519927. 1.293 2.4E-04 2.038 0.86524 2.257 3.164 4.096 5.088 6.018 6.897 7.794

22 1.767  3.0  19.5 1.284 2.2E-04 2.776 0.99647 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.767  6.0  78.2 1.284 2.2E-04 2.298 0.99134 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.767 12.0 312.8 1.284 2.2E-04 2.182 0.98328 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.767 24.0 1251. 1.284 2.2E-04 2.110 0.96872 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.767 48.0 5004. 1.284 2.2E-04 2.069 0.94130 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.767 95.519927. 1.284 2.2E-04 2.044 0.89303 2.257 3.164 4.096 5.088 6.018 6.897 7.794

23 2.039  3.0  19.5 1.272 1.2E-03 3.023 0.98525 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.039  6.0  78.2 1.272 1.2E-03 2.329 0.96214 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.039 12.0 312.8 1.272 1.2E-03 2.203 0.92787 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.039 24.0 1251. 1.272 1.2E-03 2.123 0.87300 2.257 3.164 4.096 5.088 6.018 6.897 7.794
