(fort10_06b) UCI J-v8.4 (4/06) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
           4.520E-22 6.984E-22 4.735E-26 2.382E-24 6.853E-24 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F114   298 1.207E-19 5.582E-20 3.519E-20 1.815E-20 5.996E-21 1.606E-21
           8.457E-22 9.362E-22 1.184E-25 5.777E-24 1.539E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F115   210 6.875E-21 2.992E-21 1.894E-21 1.021E-21 3.543E-22 1.135E-22
           6.099E-23 6.161E-23 0.000E+00 5.814E-25 1.349E-24 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
F115   298 6.875E-21 2.992E-21 1.894E-21 1.021E-21 3.543E-22 1.135E-22
           6.099E-23 6.161E-23 0.000E+00 5.814E-25 1.349E-24 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CCl4   210 3.700E-18 1.712E-18 1.123E-18 7.233E-19 6.126E-19 4.759E-19
           3.782E-19 2.865E-19 6.520E-22 7.169E-21 1.329E-20 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CCl4   298 3.700E-18 1.712E-18 1.124E-18 7.237E-19 6.261E-19 5.193E-19
           4.361E-19 3.497E-19 1.542E-21 1.199E-20 1.823E-20 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH3Cl  210 2.839E-19 1.304E-19 8.153E-20 3.963E-20 1.112E-20 2.169E-21
           9.976E-22 1.660E-21 1.051E-25 4.276E-24 1.401E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH3Cl  298 2.842E-19 1.310E-19 8.252E-20 4.131E-20 1.284E-20 3.138E-21
           1.607E-21 2.031E-21 2.284E-25 9.236E-24 2.797E-23 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH3CCl3210 2.720E-18 2.022E-18 1.681E-18 1.340E-18 7.225E-19 3.107E-19
           1.821E-19 1.241E-19 6.301E-23 1.516E-21 3.926E-21 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
CH3CCl3298 2.720E-18 2.022E-18 1.682E-18 1.340E-18 7.436E-19 3.535E-19
           2.234E-19 1.564E-19 2.108E-22 2.590E-21 5.500E-21 0.000E+00
